Name,wikidata,Wikipedia_URL,Wikidata_URL,Wikidata_Q
Ceolwulf,Y,https://en.wikipedia.org/wiki/Ceolwulf_of_Northumbria,http://www.wikidata.org/entity/Q729480,Q729480
Bede,Y,https://en.wikipedia.org/wiki/Bede,http://www.wikidata.org/entity/Q154938,Q154938
Albinus,Y,https://en.wikipedia.org/wiki/Albinus_(abbot),http://www.wikidata.org/entity/Q16002399,Q16002399
Theodore of Canterbury,Y,https://en.wikipedia.org/wiki/Theodore_of_Tarsus,http://www.wikidata.org/entity/Q504529,Q504529
Hadrian,Y,https://en.wikipedia.org/wiki/Adrian_of_Canterbury,http://www.wikidata.org/entity/Q1274084,Q1274084
Disciples of St Gregory,U,,,
Gregory the Great,Y,https://en.wikipedia.org/wiki/Pope_Gregory_I,http://www.wikidata.org/entity/Q42827,Q42827
Nothhelm,Y,https://en.wikipedia.org/wiki/Nothhelm,https://www.wikidata.org/wiki/Q1392362,Q1392362
Gregory II,Y,https://en.wikipedia.org/wiki/Pope_Gregory_II,https://www.wikidata.org/wiki/Q103321,Q103321
Daniel,Y,https://en.wikipedia.org/wiki/Daniel_of_Winchester,http://www.wikidata.org/entity/Q5219187,Q5219187
Lastingham brethren,U,,,
Cedd,Y,https://en.wikipedia.org/wiki/Cedd,http://www.wikidata.org/entity/Q1052577,Q1052577
Chad,Y,https://en.wikipedia.org/wiki/Chad_of_Mercia,http://www.wikidata.org/entity/Q742311,Q742311
Esi,N,,,
Cyneberht,Y,https://en.wikipedia.org/wiki/Cyneberht_of_Lindsey,https://www.wikidata.org/wiki/Q5199923,Q5199923
Cuthbert,Y,https://en.wikipedia.org/wiki/Cuthbert,http://www.wikidata.org/entity/Q504518,Q504518
Lindisfarne brethren,U,,,
Basil,Y,https://en.wikipedia.org/wiki/Basil_of_Caesarea,https://www.wikidata.org/wiki/Q44258,Q44258
Julius Caesar,Y,https://en.wikipedia.org/wiki/Julius_Caesar,http://www.wikidata.org/entity/Q1048,Q1048
Lucius Bibulus,Y,https://en.wikipedia.org/wiki/Lucius_Calpurnius_Bibulus,http://www.wikidata.org/entity/Q3655959,Q3655959
Labienus,Y,https://en.wikipedia.org/wiki/Titus_Labienus,http://www.wikidata.org/entity/Q311265,Q311265
Androgeus,Y,https://en.wikipedia.org/wiki/Mandubracius,http://www.wikidata.org/entity/Q715547,Q715547
Claudius,Y,https://en.wikipedia.org/wiki/Claudius,http://www.wikidata.org/entity/Q1411,Q1411
Augustus,Y,https://en.wikipedia.org/wiki/Augustus,https://www.wikidata.org/wiki/Q1405,Q1405
Britannicus,Y,https://en.wikipedia.org/wiki/Britannicus,http://www.wikidata.org/entity/Q313115,Q313115
Agabus,Y,https://en.wikipedia.org/wiki/Agabus,https://www.wikidata.org/wiki/Q335127,Q335127
Vespasian,Y,https://en.wikipedia.org/wiki/Vespasian,http://www.wikidata.org/entity/Q1419,Q1419
Nero,Y,https://en.wikipedia.org/wiki/Nero,http://www.wikidata.org/entity/Q1413,Q1413
Marcus Antoninus,Y,https://en.wikipedia.org/wiki/Marcus_Aurelius,http://www.wikidata.org/entity/Q1430,Q1430
Aurelius Commodus,Y,https://en.wikipedia.org/wiki/Commodus,https://www.wikidata.org/wiki/Q1434,Q1434
Eleutherius,Y,https://en.wikipedia.org/wiki/Pope_Eleutherius,https://www.wikidata.org/wiki/Q101090,Q101090
Lucius,Y,https://en.wikipedia.org/wiki/Lucius_of_Britain,https://www.wikidata.org/wiki/Q2199411,Q2199411
Diocletian,Y,https://en.wikipedia.org/wiki/Diocletian,http://www.wikidata.org/entity/Q43107,Q43107
Severus,Y,https://en.wikipedia.org/wiki/Septimius_Severus,http://www.wikidata.org/entity/Q1442,Q1442
Bassianus,Y,https://en.wikipedia.org/wiki/Caracalla,http://www.wikidata.org/entity/Q1446,Q1446
Geta,Y,https://en.wikipedia.org/wiki/Geta_(emperor),http://www.wikidata.org/entity/Q183089,Q183089
Maximianus,Y,https://en.wikipedia.org/wiki/Maximian,http://www.wikidata.org/entity/Q46768,Q46768
Carausius,Y,https://en.wikipedia.org/wiki/Carausius,http://www.wikidata.org/entity/Q317232,Q317232
Allectus,Y,https://en.wikipedia.org/wiki/Allectus,http://www.wikidata.org/entity/Q311556,Q311556
Asclipiodotus,Y,https://en.wikipedia.org/wiki/Julius_Asclepiodotus,http://www.wikidata.org/entity/Q603233,Q603233
Alban,Y,https://en.wikipedia.org/wiki/Saint_Alban,http://www.wikidata.org/entity/Q312982,Q312982
Venantius Fortunatus,Y,https://en.wikipedia.org/wiki/Venantius_Fortunatus,https://www.wikidata.org/wiki/Q44934,Q44934
Cleric1,U,,,
Evil ruler,U,,,
Judge,U,,,
Executioner1,U,,,
Executioner2,U,,,
Aaron,Y,,https://www.wikidata.org/wiki/Q19118139,Q19118139
Julius,Y,,https://www.wikidata.org/wiki/Q1713093,Q1713093
Constantius,Y,https://en.wikipedia.org/wiki/Constantius_Chlorus,http://www.wikidata.org/entity/Q131195,Q131195
Constantine,Y,https://en.wikipedia.org/wiki/Constantine_the_Great,http://www.wikidata.org/entity/Q8413,Q8413
Helena,Y,"https://en.wikipedia.org/wiki/Helena,_mother_of_Constantine_I",http://www.wikidata.org/entity/Q170164,Q170164
Eutropius,Y,https://en.wikipedia.org/wiki/Eutropius_(historian),https://www.wikidata.org/wiki/Q314694,Q314694
Gratian,Y,https://en.wikipedia.org/wiki/Gratian,http://www.wikidata.org/entity/Q189108,Q189108
Valens,Y,https://en.wikipedia.org/wiki/Valens,http://www.wikidata.org/entity/Q172471,Q172471
